concept_id,concept_name,depends_on,chapter,bloom_level
127,Noise mitigation techniques,"121,101",13,Apply
128,Zero-noise extrapolation,127,13,Apply
129,Randomized benchmarking,120,13,Apply
130,Quantum volume,"120,52",13,Evaluate
131,Quantum data encoding,69,14,Apply
132,Quantum kernel methods,131,14,Apply
133,Variational quantum classifiers,"124,131",14,Apply
134,Quantum neural networks,133,14,Analyze
135,HHL algorithm (linear systems),"60,70",14,Apply
136,Quantum PCA,135,14,Apply
137,Dequantization and quantum-inspired algorithms,135,14,Analyze
138,Quantum advantage in machine learning,"137,99",14,Evaluate
139,Quantum data (datasets on quantum hardware),131,14,Analyze
140,Quantum generative models,134,14,Create
141,Quantum key distribution (QKD),"26,43",15,Apply
142,BB84 protocol,"141,29",15,Apply
143,Quantum networks,"49,141",15,Understand
144,Quantum repeaters,143,15,Analyze
145,Fault-tolerant threshold theorem,110,15,Analyze
146,Road to logical qubits,"109,145",15,Evaluate
147,Quantum simulation,"51,100",15,Apply
148,Quantum chemistry applications,"147,122",15,Apply
149,Quantum optimization applications,"80,123",15,Apply
150,Quantum computing roadmap,"146,148,149",15,Evaluate
